study,treatment,n_patients,logHR,std.err
COMPASS,AAS_2.5_Rivaroxaban,8313,-0.150822889734584,0.103434976558205
COMPASS,AAS,8261,,0.073184613384208
COMPASS,5_Rivaroxaban,8250,-0.105360515657826,0.103434976558205
DAPT,AAS_75_Clopidogrel,3178,-0.597837000755621,0.163738236268468
DAPT,AAS,3322,,0.137707381698918
DAPT,AAS_10_Prasugrel,1700,-1.07880966137193,0.203145769590606
HOSTEXAM,75_Clopidogrel,2710,-0.430782916092454,0.300677294985114
HOSTEXAM,AAS,2728,,
PEGASUS,Pooled_Ticagrelor,14095,-0.186329578191494,0.0707170338225728
PEGASUS,AAS,7067,,
THEMIS,Pooled_Ticagrelor,9619,-0.174353387144778,0.0822162249054226
THEMIS,AAS,9601,,
