study,treatment,n_patients,logHR,std.err
COMPASS,AAS_2.5_Rivaroxaban,8313,-0.301105092783922,0.0714183740708853
COMPASS,AAS,8261,,0.0494872325715654
COMPASS,5_Rivaroxaban,8250,-0.116533816255952,0.0684346904578264
DAPT,AAS_75_Clopidogrel,3178,-0.22314355131421,0.116387100377956
DAPT,AAS,3322,,0.104193755892001
DAPT,AAS_10_Prasugrel,1700,-0.653926467406664,0.159462682988502
HOSTEXAM,75_Clopidogrel,2710,-0.385662480811985,0.131291938794173
HOSTEXAM,AAS,2728,,
PEGASUS,60_Ticagrelor,7045,-0.174353387144778,0.063727499590911
PEGASUS,AAS,7067,,0.0447657593077262
PEGASUS,90_Ticagrelor,7050,-0.162518929497775,0.0629745096764096
THEMIS,60_Ticagrelor,2492,-0.139262067333508,0.121281555284458
THEMIS,AAS,2532,,
