study,treatment,n_patients,logHR,std.err
COMPASS,AAS_2.5_Rivaroxaban,8313,0.0198026272961797,0.240046771547073
COMPASS,AAS,8261,,0.164037272173659
COMPASS,5_Rivaroxaban,8250,0.392042087776024,0.223333861569872
DAPT,AAS_75_Clopidogrel,3178,0.438254930931155,0.183812794578587
DAPT,AAS,3322,,0.174666934168381
DAPT,AAS_10_Prasugrel,1700,0.559615787935423,0.27520654626835
HOSTEXAM,75_Clopidogrel,2710,-0.462035459596559,0.219678293826295
HOSTEXAM,AAS,2728,,
PEGASUS,AAS,7067,,
PEGASUS,Pooled_Ticagrelor,14095,0.916948465954499,0.115689039212114
THEMIS,AAS,2516,,
THEMIS,Pooled_Ticagrelor,9619,0.841567185678219,0.122340071495379
